No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
1,01/02/2024,Vente,10340935.0,74.0,RTE,1210,DE L EMPEREUR,92500.0,RUEIL-MALMAISON,92,63,BM,289,0,2.0,Appartement,64.0,3.0,S,7733.0
1,04/01/2024,Vente,71000.0,5.0,RUE,0107,DE L ARTILLERIE,34300.0,AGDE,34,3,OM,69,1,2.0,Appartement,24.0,1.0,,
1,22/05/2024,Vente,126000.0,5409.0,RES,A060,LE CYCLAMEN,73800.0,MONTMELIAN,73,171,AC,45,2,2.0,Appartement,66.0,3.0,,
1,03/06/2024,Vente,7654000.0,748.0,BD,0535,NATIONALE 7,6270.0,VILLENEUVE-LOUBET,06,161,AV,192,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
1,29/02/2024,Vente,77500.0,2.0,RUE,0150,DU CARROIR,36300.0,POULIGNY-SAINT-PIERRE,36,165,G,1405,0,3.0,Dépendance,0.0,0.0,S,758.0
1,12/01/2024,Vente,17500.0,9.0,RUE,0244,DU PUITS BERTHET,37290.0,PREUILLY SUR CLAISE,37,189,B,475,0,3.0,Dépendance,0.0,0.0,S,91.0
1,27/03/2024,Vente,95000.0,7.0,RUE,0180,BIANCHI,25110.0,BAUME LES DAMES,25,47,AM,147,0,3.0,Dépendance,0.0,0.0,S,595.0
1,07/03/2024,Vente,240000.0,5943.0,RTE,0078,DE PRADONS,7120.0,RUOMS,07,201,A,956,0,1.0,Maison,116.0,4.0,J,808.0
1,08/01/2024,Vente,401300.0,28.0,RUE,3270,DU TREYVE,42160.0,ANDREZIEUX-BOUTHEON,42,5,AT,23,0,3.0,Dépendance,0.0,0.0,S,500.0
1,19/04/2024,Vente,391000.0,49.0,RUE,8333,DE ROMAINVILLE,75019.0,PARIS 19,75,119,DT,86,2,3.0,Dépendance,0.0,0.0,,
1,12/03/2024,Vente,163830.0,9.0,RUE,0080,DE LA FORGE,89570.0,NEUVY SAUTOUR,89,276,AD,207,0,3.0,Dépendance,0.0,0.0,S,1112.0
1,23/05/2024,Vente,118000.0,25.0,RUE,2697,JEAN D ORBAIS,66000.0,PERPIGNAN,66,136,EM,22,1,3.0,Dépendance,0.0,0.0,,
1,30/04/2024,Vente,800000.0,103.0,RUE,0600,CHARLES SOCQUET,74120.0,MEGEVE,74,173,AM,119,2,2.0,Appartement,90.0,4.0,,
1,06/06/2024,Vente,142500.0,10.0,AV,0660,DE LAGUIOLE,12500.0,ESPALION,12,96,AE,230,1,3.0,Dépendance,0.0,0.0,,
1,23/05/2024,Vente,626100.0,16.0,RUE,9583,VANDREZANNE,75013.0,PARIS 13,75,113,EA,82,2,2.0,Appartement,87.0,4.0,,
1,06/02/2024,Vente,388156.0,2.0,RUE,1190,DE LA SOURCE BLEUE,77410.0,CLAYE-SOUILLY,77,118,BL,389,0,1.0,Maison,100.0,4.0,S,500.0
1,15/03/2024,Vente,59850.0,3.0,RUE,2080,CLAUDE FARRERE,34500.0,BEZIERS,34,32,OT,322,2,2.0,Appartement,54.0,3.0,,
1,12/02/2024,Vente,470000.0,320.0,ALL,0070,DU CHATEAU DE MOUGINS,6330.0,ROQUEFORT-LES-PINS,06,105,CZ,34,1,1.0,Maison,85.0,4.0,,
2,15/01/2024,Vente,195000.0,12.0,RUE,0090,AUBANEL,5000.0,GAP,05,61,CV,428,0,3.0,Dépendance,0.0,0.0,S,757.0
1,28/03/2024,Vente,142000.0,6.0,PROM,8661,CHARLES TRENET,66140.0,CANET EN ROUSSILLON,66,37,BH,380,1,3.0,Dépendance,0.0,0.0,,
1,21/06/2024,Vente,632200.0,8.0,RUE,1139,JEAN GABIN,24200.0,SARLAT-LA-CANEDA,24,520,EP,69,0,1.0,Maison,80.0,4.0,AG,500.0
1,27/02/2024,Vente,295120.0,21.0,RUE,3305,DES EPINETTES,75017.0,PARIS 17,75,117,DO,97,1,3.0,Dépendance,0.0,0.0,,
1,27/02/2024,Vente,295000.0,100.0,CHE,0169,DE LA CERISETTE,64300.0,ORTHEZ,64,430,A,1260,0,1.0,Maison,150.0,5.0,S,645.0
1,21/03/2024,Adjudication,15000.0,19.0,RUE,0200,D EN HAUT,80150.0,ESTREES-LES-CRECY,80,290,AE,135,0,1.0,Maison,39.0,2.0,S,693.0
1,22/01/2024,Vente,153000.0,7.0,RUE,1100,JULES LOPARD,77450.0,ESBLY,77,171,G,421,1,3.0,Dépendance,0.0,0.0,,
26,07/03/2024,Vente,2499079.0,53.0,AV,2550,DE LA DHUYS,93170.0,BAGNOLET,93,6,Q,287,0,3.0,Dépendance,0.0,0.0,S,4913.0
1,13/06/2024,Vente,120000.0,14.0,AV,0165,DE LA REPUBLIQUE,11700.0,LAREDORTE,11,190,A,554,0,1.0,Maison,115.0,4.0,S,162.0
1,21/02/2024,Vente,207450.0,10.0,,B161,AU VARISSOU,19470.0,LE LONZAC,19,118,H,1901,1,3.0,Dépendance,0.0,0.0,,
